ticket_id,asset_tag,failure_tag,priority,type,days_to_fail,redundancy_risk
HIST-1018,pdu-105,electrical,Low,swap_psu,5,1
HIST-1026,sw-345,repair,Medium,reseat_blade,11,0
HIST-1031,blade-471,inventory,Medium,audit_label,11,0
HIST-1049,sw-256,repair,High,reseat_blade,2,0
HIST-1058,srv-297,labeling,High,audit_label,1,1
HIST-1065,blade-230,labeling,Low,audit_label,9,2
HIST-1066,pdu-312,inventory,Medium,audit_label,8,0
HIST-1071,pdu-81,labeling,Critical,audit_label,4,1
HIST-1078,srv-231,rails,Medium,install_server,7,0
HIST-1088,sfp-500,power,Medium,swap_psu,10,0
HIST-1100,srv-423,server,Critical,swap_psu,10,0
HIST-1107,pdu-408,inventory,High,audit_label,2,0
HIST-1108,pdu-215,inventory,Medium,audit_label,2,2
HIST-1109,sfp-248,server,High,reseat_blade,6,0
HIST-1113,srv-429,repair,High,reseat_blade,7,2
HIST-1117,pdu-213,rails,Low,install_server,0,0
HIST-1119,blade-131,server,Medium,install_server,13,0
HIST-1131,sfp-147,network,High,recable_port,1,0
HIST-1145,pdu-160,cabling,Low,recable_port,2,0
HIST-1149,blade-96,labeling,Low,audit_label,10,0
HIST-1156,blade-138,repair,Medium,reseat_blade,4,0
HIST-1157,pdu-82,power,Medium,swap_psu,4,1
HIST-1158,srv-357,cabling,High,recable_port,0,0
HIST-1162,sw-391,install,High,install_server,10,0
HIST-1164,sfp-312,network,Medium,recable_port,0,0
HIST-1174,sw-102,install,Critical,install_server,0,0
HIST-1175,blade-421,electrical,High,swap_psu,1,2
HIST-1187,srv-185,network,Medium,recable_port,9,1
HIST-1197,sw-439,inventory,Medium,audit_label,0,2
HIST-1201,sfp-154,server,High,reseat_blade,13,1
HIST-1203,blade-292,power,Medium,swap_psu,3,0
HIST-1207,srv-305,server,Medium,reseat_blade,5,0
HIST-1209,pdu-121,server,Medium,install_server,4,2
HIST-1213,srv-361,optic,Medium,recable_port,1,1
HIST-1226,sw-21,inventory,Medium,audit_label,5,1
HIST-1227,sw-340,power,Medium,swap_psu,7,1
HIST-1233,sfp-306,repair,Low,reseat_blade,3,0
HIST-1235,pdu-316,optic,High,recable_port,4,2
HIST-1251,srv-104,optic,High,recable_port,3,0
HIST-1257,pdu-252,server,High,install_server,10,0
HIST-1265,pdu-118,server,High,install_server,0,1
HIST-1270,sw-47,server,Medium,swap_psu,0,2
HIST-1273,srv-497,server,Low,swap_psu,10,1
HIST-1276,sfp-439,repair,Low,reseat_blade,7,0
HIST-1277,sw-55,labeling,Medium,audit_label,3,1
HIST-1285,srv-164,optic,High,recable_port,7,1
HIST-1286,srv-205,labeling,Low,audit_label,1,0
HIST-1287,pdu-305,rails,High,install_server,6,0
HIST-1300,blade-166,install,Medium,install_server,12,0
HIST-1302,pdu-321,server,High,reseat_blade,12,2
HIST-1323,blade-208,cabling,Medium,recable_port,10,1
HIST-1326,blade-265,inventory,Low,audit_label,9,0
HIST-1328,pdu-249,inventory,High,audit_label,13,0
HIST-1333,pdu-113,electrical,High,swap_psu,0,0
HIST-1335,pdu-490,install,High,install_server,7,1
HIST-1336,blade-77,rails,Medium,install_server,5,0
HIST-1338,sw-284,server,Critical,reseat_blade,13,1
HIST-1342,srv-304,server,Medium,reseat_blade,9,1
HIST-1344,sfp-487,network,Low,recable_port,10,2
HIST-1346,sw-370,repair,Medium,reseat_blade,0,0
HIST-1347,sw-199,labeling,Medium,audit_label,4,0
HIST-1361,blade-183,server,High,reseat_blade,0,2
HIST-1366,sfp-382,labeling,High,audit_label,8,0
HIST-1373,sw-494,install,Medium,install_server,13,0
HIST-1389,sw-330,server,Medium,install_server,0,1
HIST-1395,blade-356,server,High,reseat_blade,12,0
HIST-1396,blade-245,optic,Medium,recable_port,7,0
HIST-1416,blade-378,rails,Medium,install_server,12,0
HIST-1434,blade-77,rails,Low,install_server,0,1
HIST-1442,sfp-259,power,Medium,swap_psu,5,1
HIST-1443,blade-391,power,Medium,swap_psu,0,2
HIST-1450,sfp-64,network,Low,recable_port,8,0
HIST-1453,pdu-160,rails,Low,install_server,0,0
HIST-1454,pdu-97,labeling,High,audit_label,0,0
HIST-1456,sw-102,install,Medium,install_server,13,1
HIST-1465,sw-225,repair,High,reseat_blade,7,2
HIST-1468,srv-189,optic,Medium,recable_port,0,2
HIST-1472,srv-387,server,Critical,reseat_blade,13,0
HIST-1473,blade-249,labeling,High,audit_label,0,0
HIST-1479,blade-262,rails,Medium,install_server,0,0
HIST-1482,sw-65,server,Medium,swap_psu,0,0
HIST-1491,srv-142,server,Medium,install_server,2,0
HIST-1493,srv-309,server,Medium,reseat_blade,12,0
HIST-1499,pdu-395,install,Medium,install_server,14,0
HIST-1511,blade-234,inventory,Medium,audit_label,0,0
HIST-1515,srv-471,optic,Low,recable_port,0,2
HIST-1522,srv-98,cabling,Critical,recable_port,1,0
HIST-1527,sw-147,power,High,swap_psu,0,2
HIST-1532,pdu-156,server,Medium,reseat_blade,9,0
HIST-1536,srv-159,server,Medium,swap_psu,12,1
HIST-1543,blade-276,optic,Low,recable_port,4,0
HIST-1563,srv-155,repair,Critical,reseat_blade,1,2
