ticket_id,tech,priority,type,tags,created,completed_minutes,eta_minutes,overran,had_followup,reticketed,time_to_reopen_days,redundancy_risk,impact,tech_skill,tech_tags
HIST-1001,Ben,Low,recable_port,network|cabling|optic,2025-03-15T08:03:18Z,32.7,22,1,0,0,0,0,1,4,network|cabling
HIST-1002,Jia,Medium,reseat_blade,server|repair,2025-03-14T16:03:18Z,6.8,11,0,0,0,0,1,2,5,server|repair
HIST-1003,Ava,Medium,reseat_blade,server|repair,2025-03-14T18:03:18Z,14.4,16,0,0,0,0,2,2,5,server|network
HIST-1004,Dia,Medium,reseat_blade,server|repair,2025-03-15T08:03:18Z,10.8,15,0,0,0,0,1,2,4,server|install
HIST-1005,Dia,High,install_server,server|install|rails,2025-03-15T05:03:18Z,59.9,43,1,0,0,0,1,3,4,server|install
HIST-1006,Ava,Medium,install_server,server|install|rails,2025-03-15T04:03:18Z,65.0,40,1,0,0,0,0,2,5,server|network
HIST-1007,Ava,Low,audit_label,inventory|labeling,2025-03-15T05:03:18Z,8.6,12,0,0,0,0,0,1,5,server|network
HIST-1008,Farah,Critical,recable_port,network|cabling|optic,2025-03-15T07:03:18Z,9.6,14,0,0,0,0,2,4,3,network|optic
HIST-1009,Jia,Medium,recable_port,network|cabling|optic,2025-03-14T19:03:18Z,20.4,20,0,0,0,0,0,2,5,server|repair
HIST-1010,Dia,High,install_server,server|install|rails,2025-03-15T05:03:18Z,28.0,36,0,0,0,0,2,3,4,server|install
HIST-1011,Ben,Medium,recable_port,network|cabling|optic,2025-03-15T08:03:18Z,20.1,21,0,0,0,0,0,2,4,network|cabling
HIST-1012,Gus,High,install_server,server|install|rails,2025-03-14T16:03:18Z,31.5,35,0,0,0,0,2,3,3,server|cabling
HIST-1013,Ava,High,reseat_blade,server|repair,2025-03-15T08:03:18Z,17.7,15,1,0,0,0,1,3,5,server|network
HIST-1014,Eli,Critical,recable_port,network|cabling|optic,2025-03-15T08:03:18Z,20.1,15,1,0,0,0,2,4,2,server|labeling
HIST-1015,Ava,Low,reseat_blade,server|repair,2025-03-15T10:03:18Z,19.9,23,0,0,0,0,0,1,5,server|network
HIST-1016,Gus,High,recable_port,network|cabling|optic,2025-03-16T03:03:18Z,31.0,17,1,0,0,0,0,3,3,server|cabling
HIST-1017,Jia,High,install_server,server|install|rails,2025-03-16T02:03:18Z,26.9,37,0,0,0,0,0,3,5,server|repair
HIST-1018,Ava,Low,swap_psu,server|power|electrical,2025-03-15T21:03:18Z,28.1,21,1,1,1,5,1,1,5,server|network
HIST-1019,Hana,Medium,swap_psu,server|power|electrical,2025-03-15T18:03:18Z,31.9,24,1,0,0,0,0,2,4,hvac|electrical
HIST-1020,Dia,Critical,recable_port,network|cabling|optic,2025-03-15T18:03:18Z,14.2,12,1,0,0,0,1,4,4,server|install
HIST-1021,Dia,High,swap_psu,server|power|electrical,2025-03-15T22:03:18Z,23.0,20,1,0,0,0,2,3,4,server|install
HIST-1022,Dia,Low,swap_psu,server|power|electrical,2025-03-15T17:03:18Z,30.0,26,1,0,0,0,1,1,4,server|install
HIST-1023,Dia,Medium,swap_psu,server|power|electrical,2025-03-16T04:03:18Z,25.8,24,0,0,0,0,0,2,4,server|install
HIST-1024,Eli,Critical,audit_label,inventory|labeling,2025-03-16T01:03:18Z,8.6,6,1,0,0,0,0,4,2,server|labeling
HIST-1025,Jia,Medium,audit_label,inventory|labeling,2025-03-16T00:03:18Z,6.3,7,0,0,0,0,1,2,5,server|repair
HIST-1026,Ben,Medium,reseat_blade,server|repair,2025-03-16T17:03:18Z,32.1,15,1,0,1,11,0,2,4,network|cabling
HIST-1027,Ben,High,install_server,server|install|rails,2025-03-16T18:03:18Z,53.4,32,1,0,0,0,0,3,4,network|cabling
HIST-1028,Hana,Medium,reseat_blade,server|repair,2025-03-17T07:03:18Z,10.0,11,0,0,0,0,1,2,4,hvac|electrical
HIST-1029,Ava,High,reseat_blade,server|repair,2025-03-16T23:03:18Z,18.1,14,1,0,0,0,0,3,5,server|network
HIST-1030,Jia,Medium,swap_psu,server|power|electrical,2025-03-16T15:03:18Z,34.0,24,1,0,0,0,0,2,5,server|repair
HIST-1031,Eli,Medium,audit_label,inventory|labeling,2025-03-16T20:03:18Z,7.7,9,0,0,1,11,0,2,2,server|labeling
HIST-1032,Jia,Medium,audit_label,inventory|labeling,2025-03-17T04:03:18Z,10.5,11,0,0,0,0,2,2,5,server|repair
HIST-1033,Gus,High,swap_psu,server|power|electrical,2025-03-17T06:03:18Z,9.3,15,0,0,0,0,0,3,3,server|cabling
HIST-1034,Chen,Medium,recable_port,network|cabling|optic,2025-03-17T03:03:18Z,20.8,15,1,0,0,0,0,2,3,hvac|facilities
HIST-1035,Farah,Critical,reseat_blade,server|repair,2025-03-16T17:03:18Z,18.3,12,1,0,0,0,0,4,3,network|optic
HIST-1036,Gus,Medium,audit_label,inventory|labeling,2025-03-17T06:03:18Z,10.5,9,1,0,0,0,0,2,3,server|cabling
HIST-1037,Jia,Medium,reseat_blade,server|repair,2025-03-17T21:03:18Z,13.3,17,0,0,0,0,1,2,5,server|repair
HIST-1038,Gus,High,swap_psu,server|power|electrical,2025-03-17T15:03:18Z,16.0,18,0,0,0,0,0,3,3,server|cabling
HIST-1039,Ben,Medium,recable_port,network|cabling|optic,2025-03-18T01:03:18Z,17.4,14,1,0,0,0,0,2,4,network|cabling
HIST-1040,Dia,High,recable_port,network|cabling|optic,2025-03-18T08:03:18Z,14.9,14,0,0,0,0,2,3,4,server|install
HIST-1041,Ava,Medium,install_server,server|install|rails,2025-03-18T06:03:18Z,51.7,42,1,0,0,0,2,2,5,server|network
HIST-1042,Hana,High,recable_port,network|cabling|optic,2025-03-18T07:03:18Z,17.2,17,0,0,0,0,0,3,4,hvac|electrical
HIST-1043,Ben,Medium,reseat_blade,server|repair,2025-03-17T17:03:18Z,14.3,14,0,0,0,0,0,2,4,network|cabling
HIST-1044,Gus,Low,install_server,server|install|rails,2025-03-18T04:03:18Z,16.6,31,0,0,0,0,0,1,3,server|cabling
HIST-1045,Gus,Medium,recable_port,network|cabling|optic,2025-03-18T07:03:18Z,9.3,14,0,0,0,0,1,2,3,server|cabling
HIST-1046,Gus,Medium,audit_label,inventory|labeling,2025-03-17T16:03:18Z,6.9,10,0,0,0,0,0,2,3,server|cabling
HIST-1047,Dia,Medium,install_server,server|install|rails,2025-03-18T00:03:18Z,63.5,37,1,0,0,0,1,2,4,server|install
HIST-1048,Ben,High,reseat_blade,server|repair,2025-03-18T06:03:18Z,19.5,13,1,0,0,0,1,3,4,network|cabling
HIST-1049,Farah,High,reseat_blade,server|repair,2025-03-17T18:03:18Z,10.7,11,0,0,1,2,0,3,3,network|optic
HIST-1050,Ivan,High,audit_label,inventory|labeling,2025-03-18T07:03:18Z,5.4,6,0,0,0,0,0,3,1,staging|inventory
HIST-1051,Dia,High,swap_psu,server|power|electrical,2025-03-18T22:03:18Z,24.4,21,1,0,0,0,0,3,4,server|install
HIST-1052,Ben,Medium,audit_label,inventory|labeling,2025-03-19T01:03:18Z,4.8,9,0,0,0,0,2,2,4,network|cabling
HIST-1053,Gus,High,recable_port,network|cabling|optic,2025-03-19T08:03:18Z,13.2,16,0,0,0,0,0,3,3,server|cabling
HIST-1054,Ivan,Critical,reseat_blade,server|repair,2025-03-18T18:03:18Z,13.1,12,0,0,0,0,1,4,1,staging|inventory
HIST-1055,Gus,Low,reseat_blade,server|repair,2025-03-18T22:03:18Z,19.9,21,0,0,0,0,0,1,3,server|cabling
HIST-1056,Gus,Critical,reseat_blade,server|repair,2025-03-19T04:03:18Z,10.4,9,1,0,0,0,0,4,3,server|cabling
HIST-1057,Ava,Medium,swap_psu,server|power|electrical,2025-03-18T16:03:18Z,39.3,22,1,0,0,0,0,2,5,server|network
HIST-1058,Ben,High,audit_label,inventory|labeling,2025-03-19T05:03:18Z,11.3,9,1,0,1,1,1,3,4,network|cabling
HIST-1059,Eli,Low,install_server,server|install|rails,2025-03-19T01:03:18Z,30.2,50,0,0,0,0,0,1,2,server|labeling
HIST-1060,Ava,Medium,recable_port,network|cabling|optic,2025-03-18T23:03:18Z,11.2,16,0,0,0,0,0,2,5,server|network
HIST-1061,Hana,Medium,audit_label,inventory|labeling,2025-03-18T18:03:18Z,5.0,9,0,0,0,0,1,2,4,hvac|electrical
HIST-1062,Hana,Low,install_server,server|install|rails,2025-03-19T18:03:18Z,21.7,33,0,0,0,0,0,1,4,hvac|electrical
HIST-1063,Ava,Medium,reseat_blade,server|repair,2025-03-19T18:03:18Z,22.8,16,1,0,0,0,2,2,5,server|network
HIST-1064,Ivan,Low,reseat_blade,server|repair,2025-03-19T19:03:18Z,102.0,22,1,0,0,0,0,1,1,staging|inventory
HIST-1065,Ben,Low,audit_label,inventory|labeling,2025-03-19T17:03:18Z,8.0,12,0,1,1,9,2,1,4,network|cabling
HIST-1066,Eli,Medium,audit_label,inventory|labeling,2025-03-19T17:03:18Z,7.2,6,1,1,1,8,0,2,2,server|labeling
HIST-1067,Ivan,Low,recable_port,network|cabling|optic,2025-03-19T21:03:18Z,14.9,17,0,0,0,0,1,1,1,staging|inventory
HIST-1068,Jia,Medium,reseat_blade,server|repair,2025-03-19T18:03:18Z,13.2,14,0,0,0,0,0,2,5,server|repair
HIST-1069,Gus,High,swap_psu,server|power|electrical,2025-03-20T09:03:18Z,26.4,23,0,0,0,0,1,3,3,server|cabling
HIST-1070,Gus,Medium,audit_label,inventory|labeling,2025-03-19T15:03:18Z,5.8,9,0,0,0,0,1,2,3,server|cabling
HIST-1071,Gus,Critical,audit_label,inventory|labeling,2025-03-20T05:03:18Z,5.1,6,0,0,1,4,1,4,3,server|cabling
HIST-1072,Chen,High,swap_psu,server|power|electrical,2025-03-19T18:03:18Z,49.7,19,1,0,0,0,1,3,3,hvac|facilities
HIST-1073,Chen,Medium,swap_psu,server|power|electrical,2025-03-19T15:03:18Z,38.8,22,1,0,0,0,0,2,3,hvac|facilities
HIST-1074,Jia,High,reseat_blade,server|repair,2025-03-20T09:03:18Z,7.7,12,0,0,0,0,0,3,5,server|repair
HIST-1075,Gus,High,reseat_blade,server|repair,2025-03-21T03:03:18Z,11.1,16,0,0,0,0,0,3,3,server|cabling
HIST-1076,Ava,High,swap_psu,server|power|electrical,2025-03-20T20:03:18Z,27.6,23,1,0,0,0,0,3,5,server|network
HIST-1077,Dia,Low,audit_label,inventory|labeling,2025-03-21T01:03:18Z,11.4,11,0,0,0,0,1,1,4,server|install
HIST-1078,Jia,Medium,install_server,server|install|rails,2025-03-21T08:03:18Z,44.3,36,1,0,1,7,0,2,5,server|repair
HIST-1079,Dia,Medium,install_server,server|install|rails,2025-03-20T20:03:18Z,23.1,37,0,0,0,0,0,2,4,server|install
HIST-1080,Gus,Medium,swap_psu,server|power|electrical,2025-03-20T19:03:18Z,19.7,17,1,0,0,0,0,2,3,server|cabling
HIST-1081,Ava,Low,swap_psu,server|power|electrical,2025-03-21T07:03:18Z,31.7,29,0,0,0,0,1,1,5,server|network
HIST-1082,Ava,Medium,recable_port,network|cabling|optic,2025-03-21T07:03:18Z,19.6,17,1,0,0,0,0,2,5,server|network
HIST-1083,Gus,High,recable_port,network|cabling|optic,2025-03-21T10:03:18Z,22.5,19,1,0,0,0,2,3,3,server|cabling
HIST-1084,Hana,High,swap_psu,server|power|electrical,2025-03-21T04:03:18Z,30.8,18,1,0,0,0,1,3,4,hvac|electrical
HIST-1085,Chen,High,install_server,server|install|rails,2025-03-20T19:03:18Z,93.1,40,1,0,0,0,1,3,3,hvac|facilities
HIST-1086,Ava,Low,reseat_blade,server|repair,2025-03-22T01:03:18Z,20.9,22,0,0,0,0,2,1,5,server|network
HIST-1087,Hana,Low,install_server,server|install|rails,2025-03-21T18:03:18Z,82.0,39,1,0,0,0,0,1,4,hvac|electrical
HIST-1088,Chen,Medium,swap_psu,server|power|electrical,2025-03-21T17:03:18Z,12.4,18,0,0,1,10,0,2,3,hvac|facilities
HIST-1089,Ben,Critical,recable_port,network|cabling|optic,2025-03-21T18:03:18Z,13.1,15,0,0,0,0,0,4,4,network|cabling
HIST-1090,Hana,High,audit_label,inventory|labeling,2025-03-22T00:03:18Z,6.9,7,0,0,0,0,0,3,4,hvac|electrical
HIST-1091,Ivan,Low,install_server,server|install|rails,2025-03-21T18:03:18Z,96.1,44,1,0,0,0,0,1,1,staging|inventory
HIST-1092,Dia,Medium,swap_psu,server|power|electrical,2025-03-21T20:03:18Z,30.6,22,1,0,0,0,0,2,4,server|install
HIST-1093,Eli,Medium,audit_label,inventory|labeling,2025-03-21T16:03:18Z,6.2,6,0,0,0,0,0,2,2,server|labeling
HIST-1094,Chen,High,recable_port,network|cabling|optic,2025-03-21T16:03:18Z,7.6,13,0,0,0,0,0,3,3,hvac|facilities
HIST-1095,Farah,Low,audit_label,inventory|labeling,2025-03-22T18:03:18Z,10.2,12,0,0,0,0,0,1,3,network|optic
